Species	AphisID	ImageLink	Group
Clathrina coriacea	132277	https://www.meerwasser-lexikon.de/imgHaupt/26182_cmnTDHPmSp.jpg	Calcarea
Creseis acicula	139034	https://images.marinespecies.org/thumbs/100018_creseis-acicula.jpg?w=700	Gastropoda
Trapania maculata	140044	https://www.meerwasser-lexikon.de/imgHaupt/46946_UP5zkd2nqH.jpg	Gastropoda
Bivetiella cancellata	341244	https://images.marinespecies.org/thumbs/52257_bivetiella-cancellata.jpg?w=700	Gastropoda
Lepidochitona cinerea	152774	https://www.meerwasser-lexikon.de/imgHaupt/37862_Jq3972mJR1.jpg	Polyplacophora
Barbatia barbata	138793	https://www.beachexplorer.org/uploads/species/BEQ3E_SM_Baertige_Archenmuschel.jpg	Bivalvia
Modiolus adriaticus	140462	http://www.idscaro.net/sci/04_med/pictures/fam5/modiolus_adriaticus1.jpg	Bivalvia
Sepiola rondeletii	141459	https://www.meerwasser-lexikon.de/imgHaupt/27435_cfz5tkadTR.jpg	Cephalopoda
Chiton magnificus	386779	https://images.marinespecies.org/thumbs/137014_chiton-magnificus.jpg?w=700	Polyplacophora
Rissoa violacea	141374	https://images.marinespecies.org/thumbs/70226_rissoa-violacea-desmarest-1814specimen-from-genoveses-almeria-spain-actual-size-4-9-mm.jpg?w=700	Gastropoda
Loligo vulgaris	140271	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Loligo_vulgaris.jpg/1024px-Loligo_vulgaris.jpg	Cephalopoda
Bittium reticulatum	139054	https://www.beachexplorer.org/uploads/species/BEQ3E_SC_Gitterschnecke.jpg	Gastropoda
Loripes orbiculatus	875379	http://www.idscaro.net/sci/04_med/pictures/fam5/loripes_orbiculatus1.jpg	Bivalvia
Flexopecten flexuosus	225259	https://www.meerwasser-lexikon.de/imgHaupt/29472_WFLkdmTYLN.jpg	Bivalvia
Lithophaga lithophaga	140459	https://www.meerwasser-lexikon.de/imgHaupt/26169_Nge9sAawfe.jpg	Bivalvia
Mitrella scripta	139207	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Mitrella_scripta_01.JPG/800px-Mitrella_scripta_01.JPG	Gastropoda
Callochiton septemvalvis	140132	https://www.meerwasser-lexikon.de/imgHaupt/28284_yhuRXbz2vk.jpg	Polyplacophora
Abra alba	141433	https://upload.wikimedia.org/wikipedia/commons/1/1f/Abra_alba_2.jpg	Bivalvia
Parachiton africanus	385845	http://www.idscaro.net/sci/04_med/pictures/fam1/parachiton_africanus1_anappo.jpg	Polyplacophora
Sepiella ornata	225586	https://www.sealifebase.ca/images/species/Seorn_u0.gif	Cephalopoda
Fabulina fabula	146907	https://upload.wikimedia.org/wikipedia/commons/1/12/Tellina_fabula-Nl2.jpg	Bivalvia
Patella ulyssiponensis	140684	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Patella_ulyssiponensis_01.JPG/1280px-Patella_ulyssiponensis_01.JPG	Gastropoda
Chamelea gallina	141907	https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Chamelea_gallina_MHNT.jpg/1920px-Chamelea_gallina_MHNT.jpg	Bivalvia
Venerupis corrugata	181364	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Venerupis_corrugata_Teppichmuschel.jpg/1024px-Venerupis_corrugata_Teppichmuschel.jpg	Bivalvia
Octopus hubbsorum	341983	http://animal.memozee.com/Arch08/1621270835.jpg	Cephalopoda
Dosinia lupinus	141912	https://upload.wikimedia.org/wikipedia/commons/7/7f/Dosinia_lupinus.jpg	Bivalvia
Oscarella lobularis	133928	https://www.meerwasser-lexikon.de/imgHaupt/56373_5b6dbbc791a7a.jpg	Homoscleromorpha
Rhyssoplax corallina	1288184	https://images.marinespecies.org/thumbs/25039_corallinus-6-valved.jpg?w=700	Polyplacophora
Peltodoris atromaculata	509315	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Discodoris_atromaculata.jpg/1024px-Discodoris_atromaculata.jpg	Gastropoda
Galeodea rugosa	139024	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Galeodea_rugosa_002.jpg/1024px-Galeodea_rugosa_002.jpg	Gastropoda
Sarcotragus spinosulus	165086	https://www.meerwasser-lexikon.de/imgHaupt/26195_UugnJ4zqWX.jpg	Demospongiae
Axinella damicornis	132472	https://www.meerwasser-lexikon.de/imgHaupt/27740_ag6TEvMmZu.jpg	Demospongiae
Varicorbula gibba	378492	https://images.marinespecies.org/thumbs/128578_varicorbula-gibba.jpg?w=700	Bivalvia
Tellimya ferruginosa	146952	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Tellimya_ferruginosa.jpg/1024px-Tellimya_ferruginosa.jpg	Bivalvia
Nucula hanleyi	140588	https://images.marinespecies.org/thumbs/63253_nucula-hanleyi.jpg?w=700	Bivalvia
Chauvetia recondita	138889	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Chauvetia_recondita_%28MNHN-IM-2000-23153%29.jpeg/1280px-Chauvetia_recondita_%28MNHN-IM-2000-23153%29.jpeg	Gastropoda
Felimare picta	597522	https://www.meerwasser-lexikon.de/imgHaupt/71392_61eda5c3d3e28.jpg	Gastropoda
Phorbas fictitius	133679	https://www.meerwasser-lexikon.de/imgHaupt/26193_v791zCkp5L.jpg	Demospongiae
Cliona viridis	134146	https://www.meerwasser-lexikon.de/imgHaupt/51463_58b3f9e4c07ac.jpg	Demospongiae
Phaxas pellucidus	140737	https://images.marinespecies.org/thumbs/57967_phaxas-pellucidus.jpg?w=700	Bivalvia
Lucinoma borealis	140283	https://upload.wikimedia.org/wikipedia/commons/4/4e/Lucinoma_borealis2.jpg	Bivalvia
Clausinella fasciata	141909	https://upload.wikimedia.org/wikipedia/commons/8/85/Veneridae_-_Clausinella_fasciata.JPG	Bivalvia
Mitromorpha olivoidea	181067	https://images.marinespecies.org/thumbs/63054_mitromorpha-olivoidea.jpg?w=700	Gastropoda
Octopus cyanea	210788	https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Octopus_cyanea_Maldives.JPG/1024px-Octopus_cyanea_Maldives.JPG	Cephalopoda
Mactra stultorum	140299	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Mactra_stultorum.jpg/1024px-Mactra_stultorum.jpg	Bivalvia
Euspira nitida	151894	https://upload.wikimedia.org/wikipedia/commons/b/b6/Euspira_nitida-Nl2V.jpg	Gastropoda
Astarte fusca	138822	https://images.marinespecies.org/thumbs/50909_astarte-fusca.jpg?w=700	Bivalvia
Gibbula magus	141790	https://www.meerwasser-lexikon.de/imgHaupt/25927_cF8k7EXbC5.jpg	Gastropoda
Caecum trachea	138957	http://www.idscaro.net/sci/04_med/pictures/fam3/caecum_trachea1.jpg	Gastropoda
Bela nebula	139217	https://images.marinespecies.org/thumbs/65497_bela-nebula.jpg?w=700	Gastropoda
Macomangulus tenuis	878470	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Angulus_tenuis_%28Thin_Tellin%29.jpg/1024px-Angulus_tenuis_%28Thin_Tellin%29.jpg	Bivalvia
Myosotella myosotis	139673	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Myosotella_myosotis_b.jpg/800px-Myosotella_myosotis_b.jpg	Gastropoda
Moerella donacina	147021	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Moerella_donacina.jpg/1024px-Moerella_donacina.jpg	Bivalvia
